Name | Player 1 Type | Player 2 Type | Function Type | Primary Attributes | Secondary Attributes | Parents Retained | Mutation Rate
tree-gen-8-8 | MinimaxPlayer | MinimaxPlayer | FunctionTree | 1 | 2 | 0.8 | 0.8

Iteration | Time Taken | Maximum Utility | Average Utility | Stddev of Utility | Battle ID | MoveList
1 | 84.273 | 666.666666667 | -694.728891044 | 919.317834562 | 57 | [other_primary_1=((self_primary_1 + other_secondary_1) - 1), other_secondary_1=((other_secondary_1 * self_secondary_2) + 1), other_secondary_1=((other_secondary_1 - other_secondary_1) - 1), other_primary_1=((self_primary_1 * other_secondary_2) - (self_secondary_1 - 1)), self_secondary_2=((other_primary_1 / other_primary_1) / (other_secondary_1 + self_secondary_2)), self_primary_1=((self_primary_1 / 2) * (other_primary_1 - 1))]
2 | 73.007 | 666.666666667 | -592.720599302 | 933.783917034 | 57 | [other_primary_1=((self_primary_1 + other_secondary_1) - 1), other_secondary_1=((other_secondary_1 * self_secondary_2) + 1), other_secondary_1=((other_secondary_1 - other_secondary_1) - 1), other_primary_1=((self_primary_1 * other_secondary_2) - (self_secondary_1 - 1)), self_secondary_2=((other_primary_1 / other_primary_1) / (other_secondary_1 + self_secondary_2)), self_primary_1=((self_primary_1 / 2) * (other_primary_1 - 1))]
3 | 76.879 | 666.666666667 | -230.627874222 | 882.76314249 | 57 | [other_primary_1=((self_primary_1 + other_secondary_1) - 1), other_secondary_1=((other_secondary_1 * self_secondary_2) + 1), other_secondary_1=((other_secondary_1 - other_secondary_1) - 1), other_primary_1=((self_primary_1 * other_secondary_2) - (self_secondary_1 - 1)), self_secondary_2=((other_primary_1 / other_primary_1) / (other_secondary_1 + self_secondary_2)), self_primary_1=((self_primary_1 / 2) * (other_primary_1 - 1))]
4 | 72.333 | 666.666666667 | -143.191759695 | 871.339558955 | 57 | [other_primary_1=((self_primary_1 + other_secondary_1) - 1), other_secondary_1=((other_secondary_1 * self_secondary_2) + 1), other_secondary_1=((other_secondary_1 - other_secondary_1) - 1), other_primary_1=((self_primary_1 * other_secondary_2) - (self_secondary_1 - 1)), self_secondary_2=((other_primary_1 / other_primary_1) / (other_secondary_1 + self_secondary_2)), self_primary_1=((self_primary_1 / 2) * (other_primary_1 - 1))]
5 | 72.843 | 764.297739604 | -88.1400901248 | 878.922133196 | 1772 | [other_primary_1=(3 * (self_primary_1 + self_secondary_1)), other_secondary_2=((3 * self_secondary_2) + (other_secondary_2 - other_secondary_1)), self_primary_1=((self_primary_1 / 3) / 3), other_secondary_2=((other_secondary_2 / self_secondary_2) - (other_secondary_2 - 1)), other_primary_1=((32 * other_primary_1) * (self_primary_1 / other_primary_1)), self_secondary_1=((other_primary_1 + other_secondary_2) + (self_primary_1 * self_secondary_1))]
6 | 67.558 | 764.297739604 | -30.514166501 | 874.554572472 | 1772 | [other_primary_1=(3 * (self_primary_1 + self_secondary_1)), other_secondary_2=((3 * self_secondary_2) + (other_secondary_2 - other_secondary_1)), self_primary_1=((self_primary_1 / 3) / 3), other_secondary_2=((other_secondary_2 / self_secondary_2) - (other_secondary_2 - 1)), other_primary_1=((32 * other_primary_1) * (self_primary_1 / other_primary_1)), self_secondary_1=((other_primary_1 + other_secondary_2) + (self_primary_1 * self_secondary_1))]
7 | 69.833 | 764.297739604 | -77.74794154 | 901.856610423 | 1772 | [other_primary_1=(3 * (self_primary_1 + self_secondary_1)), other_secondary_2=((3 * self_secondary_2) + (other_secondary_2 - other_secondary_1)), self_primary_1=((self_primary_1 / 3) / 3), other_secondary_2=((other_secondary_2 / self_secondary_2) - (other_secondary_2 - 1)), other_primary_1=((32 * other_primary_1) * (self_primary_1 / other_primary_1)), self_secondary_1=((other_primary_1 + other_secondary_2) + (self_primary_1 * self_secondary_1))]
8 | 70.515 | 764.297739604 | -35.3028365524 | 880.209194126 | 1772 | [other_primary_1=(3 * (self_primary_1 + self_secondary_1)), other_secondary_2=((3 * self_secondary_2) + (other_secondary_2 - other_secondary_1)), self_primary_1=((self_primary_1 / 3) / 3), other_secondary_2=((other_secondary_2 / self_secondary_2) - (other_secondary_2 - 1)), other_primary_1=((32 * other_primary_1) * (self_primary_1 / other_primary_1)), self_secondary_1=((other_primary_1 + other_secondary_2) + (self_primary_1 * self_secondary_1))]
9 | 74.698 | 764.297739604 | -66.9583224322 | 898.38939986 | 1772 | [other_primary_1=(3 * (self_primary_1 + self_secondary_1)), other_secondary_2=((3 * self_secondary_2) + (other_secondary_2 - other_secondary_1)), self_primary_1=((self_primary_1 / 3) / 3), other_secondary_2=((other_secondary_2 / self_secondary_2) - (other_secondary_2 - 1)), other_primary_1=((32 * other_primary_1) * (self_primary_1 / other_primary_1)), self_secondary_1=((other_primary_1 + other_secondary_2) + (self_primary_1 * self_secondary_1))]
10 | 69.632 | 764.297739604 | -20.9698180912 | 872.120994492 | 1772 | [other_primary_1=(3 * (self_primary_1 + self_secondary_1)), other_secondary_2=((3 * self_secondary_2) + (other_secondary_2 - other_secondary_1)), self_primary_1=((self_primary_1 / 3) / 3), other_secondary_2=((other_secondary_2 / self_secondary_2) - (other_secondary_2 - 1)), other_primary_1=((32 * other_primary_1) * (self_primary_1 / other_primary_1)), self_secondary_1=((other_primary_1 + other_secondary_2) + (self_primary_1 * self_secondary_1))]
