Name | Player 1 Type | Player 2 Type | Function Type | Primary Attributes | Secondary Attributes | Parents Retained | Mutation Rate
vector-gen-8-4 | MinimaxPlayer | MinimaxPlayer | FunctionVector | 1 | 2 | 0.8 | 0.4

Iteration | Time Taken | Maximum Utility | Average Utility | Stddev of Utility | Battle ID | MoveList
1 | 34.314 | 850.9288015 | -409.11197586 | 989.445493438 | 339 | [{'other_secondary_1': 0, 'self_secondary_1': -4, 'self_secondary_2': -4, 'other_secondary_2': -4} + -1, {'self_secondary_1': 2, 'self_secondary_2': -4} + -3, {'other_primary_1': -4, 'other_secondary_1': 5, 'other_secondary_2': 3, 'self_secondary_1': -3, 'self_secondary_2': -1, 'self_primary_1': 4} + -1, {'other_primary_1': -2, 'other_secondary_1': -2, 'other_secondary_2': 4, 'self_secondary_1': -3, 'self_secondary_2': 1, 'self_primary_1': 2} + -5, {'other_secondary_1': 0, 'self_secondary_1': 2, 'self_secondary_2': 1, 'other_secondary_2': -1} + -3, {'self_secondary_1': -2, 'self_secondary_2': 3, 'self_primary_1': -1} + -5]
2 | 19.07 | 850.9288015 | -156.753857209 | 934.108023137 | 339 | [{'other_secondary_1': 0, 'self_secondary_1': -4, 'self_secondary_2': -4, 'other_secondary_2': -4} + -1, {'self_secondary_1': 2, 'self_secondary_2': -4} + -3, {'other_primary_1': -4, 'other_secondary_1': 5, 'other_secondary_2': 3, 'self_secondary_1': -3, 'self_secondary_2': -1, 'self_primary_1': 4} + -1, {'other_primary_1': -2, 'other_secondary_1': -2, 'other_secondary_2': 4, 'self_secondary_1': -3, 'self_secondary_2': 1, 'self_primary_1': 2} + -5, {'other_secondary_1': 0, 'self_secondary_1': 2, 'self_secondary_2': 1, 'other_secondary_2': -1} + -3, {'self_secondary_1': -2, 'self_secondary_2': 3, 'self_primary_1': -1} + -5]
3 | 20.244 | 850.9288015 | 307.576815258 | 582.474071205 | 339 | [{'other_secondary_1': 0, 'self_secondary_1': -4, 'self_secondary_2': -4, 'other_secondary_2': -4} + -1, {'self_secondary_1': 2, 'self_secondary_2': -4} + -3, {'other_primary_1': -4, 'other_secondary_1': 5, 'other_secondary_2': 3, 'self_secondary_1': -3, 'self_secondary_2': -1, 'self_primary_1': 4} + -1, {'other_primary_1': -2, 'other_secondary_1': -2, 'other_secondary_2': 4, 'self_secondary_1': -3, 'self_secondary_2': 1, 'self_primary_1': 2} + -5, {'other_secondary_1': 0, 'self_secondary_1': 2, 'self_secondary_2': 1, 'other_secondary_2': -1} + -3, {'self_secondary_1': -2, 'self_secondary_2': 3, 'self_primary_1': -1} + -5]
4 | 21.849 | 850.9288015 | 286.533277942 | 653.208901469 | 339 | [{'other_secondary_1': 0, 'self_secondary_1': -4, 'self_secondary_2': -4, 'other_secondary_2': -4} + -1, {'self_secondary_1': 2, 'self_secondary_2': -4} + -3, {'other_primary_1': -4, 'other_secondary_1': 5, 'other_secondary_2': 3, 'self_secondary_1': -3, 'self_secondary_2': -1, 'self_primary_1': 4} + -1, {'other_primary_1': -2, 'other_secondary_1': -2, 'other_secondary_2': 4, 'self_secondary_1': -3, 'self_secondary_2': 1, 'self_primary_1': 2} + -5, {'other_secondary_1': 0, 'self_secondary_1': 2, 'self_secondary_2': 1, 'other_secondary_2': -1} + -3, {'self_secondary_1': -2, 'self_secondary_2': 3, 'self_primary_1': -1} + -5]
5 | 20.761 | 850.9288015 | 328.72192864 | 614.013477457 | 339 | [{'other_secondary_1': 0, 'self_secondary_1': -4, 'self_secondary_2': -4, 'other_secondary_2': -4} + -1, {'self_secondary_1': 2, 'self_secondary_2': -4} + -3, {'other_primary_1': -4, 'other_secondary_1': 5, 'other_secondary_2': 3, 'self_secondary_1': -3, 'self_secondary_2': -1, 'self_primary_1': 4} + -1, {'other_primary_1': -2, 'other_secondary_1': -2, 'other_secondary_2': 4, 'self_secondary_1': -3, 'self_secondary_2': 1, 'self_primary_1': 2} + -5, {'other_secondary_1': 0, 'self_secondary_1': 2, 'self_secondary_2': 1, 'other_secondary_2': -1} + -3, {'self_secondary_1': -2, 'self_secondary_2': 3, 'self_primary_1': -1} + -5]
6 | 22.461 | 850.9288015 | 297.638268615 | 669.361293954 | 339 | [{'other_secondary_1': 0, 'self_secondary_1': -4, 'self_secondary_2': -4, 'other_secondary_2': -4} + -1, {'self_secondary_1': 2, 'self_secondary_2': -4} + -3, {'other_primary_1': -4, 'other_secondary_1': 5, 'other_secondary_2': 3, 'self_secondary_1': -3, 'self_secondary_2': -1, 'self_primary_1': 4} + -1, {'other_primary_1': -2, 'other_secondary_1': -2, 'other_secondary_2': 4, 'self_secondary_1': -3, 'self_secondary_2': 1, 'self_primary_1': 2} + -5, {'other_secondary_1': 0, 'self_secondary_1': 2, 'self_secondary_2': 1, 'other_secondary_2': -1} + -3, {'self_secondary_1': -2, 'self_secondary_2': 3, 'self_primary_1': -1} + -5]
7 | 22.516 | 850.9288015 | 308.182650304 | 660.588812747 | 339 | [{'other_secondary_1': 0, 'self_secondary_1': -4, 'self_secondary_2': -4, 'other_secondary_2': -4} + -1, {'self_secondary_1': 2, 'self_secondary_2': -4} + -3, {'other_primary_1': -4, 'other_secondary_1': 5, 'other_secondary_2': 3, 'self_secondary_1': -3, 'self_secondary_2': -1, 'self_primary_1': 4} + -1, {'other_primary_1': -2, 'other_secondary_1': -2, 'other_secondary_2': 4, 'self_secondary_1': -3, 'self_secondary_2': 1, 'self_primary_1': 2} + -5, {'other_secondary_1': 0, 'self_secondary_1': 2, 'self_secondary_2': 1, 'other_secondary_2': -1} + -3, {'self_secondary_1': -2, 'self_secondary_2': 3, 'self_primary_1': -1} + -5]
8 | 21.402 | 850.9288015 | 320.420947815 | 654.182583078 | 339 | [{'other_secondary_1': 0, 'self_secondary_1': -4, 'self_secondary_2': -4, 'other_secondary_2': -4} + -1, {'self_secondary_1': 2, 'self_secondary_2': -4} + -3, {'other_primary_1': -4, 'other_secondary_1': 5, 'other_secondary_2': 3, 'self_secondary_1': -3, 'self_secondary_2': -1, 'self_primary_1': 4} + -1, {'other_primary_1': -2, 'other_secondary_1': -2, 'other_secondary_2': 4, 'self_secondary_1': -3, 'self_secondary_2': 1, 'self_primary_1': 2} + -5, {'other_secondary_1': 0, 'self_secondary_1': 2, 'self_secondary_2': 1, 'other_secondary_2': -1} + -3, {'self_secondary_1': -2, 'self_secondary_2': 3, 'self_primary_1': -1} + -5]
9 | 21.545 | 850.9288015 | 353.48953536 | 622.706438702 | 339 | [{'other_secondary_1': 0, 'self_secondary_1': -4, 'self_secondary_2': -4, 'other_secondary_2': -4} + -1, {'self_secondary_1': 2, 'self_secondary_2': -4} + -3, {'other_primary_1': -4, 'other_secondary_1': 5, 'other_secondary_2': 3, 'self_secondary_1': -3, 'self_secondary_2': -1, 'self_primary_1': 4} + -1, {'other_primary_1': -2, 'other_secondary_1': -2, 'other_secondary_2': 4, 'self_secondary_1': -3, 'self_secondary_2': 1, 'self_primary_1': 2} + -5, {'other_secondary_1': 0, 'self_secondary_1': 2, 'self_secondary_2': 1, 'other_secondary_2': -1} + -3, {'self_secondary_1': -2, 'self_secondary_2': 3, 'self_primary_1': -1} + -5]
10 | 21.971 | 850.9288015 | 315.569286016 | 675.132911257 | 339 | [{'other_secondary_1': 0, 'self_secondary_1': -4, 'self_secondary_2': -4, 'other_secondary_2': -4} + -1, {'self_secondary_1': 2, 'self_secondary_2': -4} + -3, {'other_primary_1': -4, 'other_secondary_1': 5, 'other_secondary_2': 3, 'self_secondary_1': -3, 'self_secondary_2': -1, 'self_primary_1': 4} + -1, {'other_primary_1': -2, 'other_secondary_1': -2, 'other_secondary_2': 4, 'self_secondary_1': -3, 'self_secondary_2': 1, 'self_primary_1': 2} + -5, {'other_secondary_1': 0, 'self_secondary_1': 2, 'self_secondary_2': 1, 'other_secondary_2': -1} + -3, {'self_secondary_1': -2, 'self_secondary_2': 3, 'self_primary_1': -1} + -5]
